rnn_type,dropout,hidden_size,num_layers,bidirectional,Train Loss,Valid Loss,Valid Accuracy,Valid F1,Test Loss,Test Accuracy,Test F1
RNN,0.0,150,1,True,0.6339374672982001,0.6866719131098419,0.5852828116419551,0.3124678645128356,0.6914366139945659,0.6571100917431193,0.5449010654490107
RNN,0.0,150,1,False,0.6298970989642605,0.6656975129425852,0.600329489291598,0.3421014062754583,0.6567421340468255,0.6571100917431193,0.5306122448979592
RNN,0.3,150,1,False,0.6298970989642605,0.6656975129425852,0.600329489291598,0.3421014062754583,0.6567421340468255,0.6571100917431193,0.5306122448979592
RNN,0.5,200,2,True,0.6552725502148201,0.671475686580757,0.5694673256452498,0.2402102808765542,0.6606086084449833,0.6548165137614679,0.5289514866979655
RNN,0.3,150,2,True,0.6094999059554069,0.6822878256765871,0.600329489291598,0.3479235131876141,0.703718962401829,0.6536697247706422,0.5206349206349207
RNN,0.5,200,3,True,0.6235140246729698,0.7059178564717861,0.6009884678747941,0.3380214933550208,0.7934120950204405,0.6456422018348624,0.4858569051580699
RNN,0.0,100,1,False,0.6571071525048551,0.6806995843277603,0.5593629873695771,0.2120081090992533,0.6852613298053091,0.6410550458715596,0.459412780656304
RNN,0.3,100,1,False,0.6571071525048551,0.6806995843277603,0.5593629873695771,0.2120081090992533,0.6852613298053091,0.6410550458715596,0.459412780656304
RNN,0.5,100,1,False,0.6571071525048551,0.6806995843277603,0.5593629873695771,0.2120081090992533,0.6852613298053091,0.6410550458715596,0.459412780656304
RNN,0.3,100,3,False,0.6634938656459756,0.6901852772046959,0.557495881383855,0.2152102203459844,0.6894557252526283,0.6399082568807339,0.4801324503311258
RNN,0.5,100,3,False,0.6916257955511596,0.6905067640901263,0.5239978034047227,0.1153086419753086,0.6680620021440766,0.6353211009174312,0.5804749340369393
RNN,0.5,200,2,False,0.6886789914649752,0.6879338885917038,0.5177375068643603,0.08912652826042,0.6842135834422979,0.555045871559633,0.2734082397003745
RNN,0.3,150,3,True,0.6895714063798228,0.6894150047028651,0.5160900604063702,0.080701630823735,0.6936312954534184,0.5126146788990825,0.0139211136890951
RNN,0.3,200,2,False,0.6903718747301586,0.6927910117503724,0.5023613399231192,0.0125529454551212,0.6951968161897226,0.5126146788990825,0.0274599542334096
RNN,0.0,200,3,False,0.6912058748407848,0.692236436585911,0.499835255354201,0.1339181307689002,0.6907789876515215,0.5091743119266054,0.0
RNN,0.5,100,3,True,0.6921981382479865,0.6945566234041433,0.499286106534871,0.0004381161007667,0.6913080567663367,0.5091743119266054,0.0
